Dataset,Fold,n_rows,n_unique_molecules,mean_abs_error,rmse,mean_residual
0%,0,200,200,0.5355131464999999,0.6675531247961888,0.02837318549999996
0%,1,200,200,0.5262938665,0.66055750318215,0.1539734405
0%,2,200,200,0.5530435414999999,0.680294388889424,-0.1399552925
0%,3,200,200,0.521913396,0.6595865091088065,-0.043992037999999976
0%,4,200,200,0.597508024,0.739310998356067,-0.16573267500000002
33%,0,200,200,0.5982703375,0.7743700126763422,0.22293625549999999
33%,1,200,200,0.5514146775,0.7051437155137869,0.09378871849999998
33%,2,200,200,0.5991370185,0.7286673520543536,-0.15030954749999997
33%,3,200,200,0.5679795919999999,0.7103999788725273,-0.052095159000000016
33%,4,200,200,0.599042364,0.7455226773527279,-0.158128731
67%,0,200,200,0.5256085269999999,0.6806869994773106,0.05899409400000002
67%,1,200,200,0.46984238,0.5913770189986935,0.010860000000000012
67%,2,200,200,0.510857021,0.6276168828187505,-0.12466401099999995
67%,3,200,200,0.502506292,0.644487723102128,-0.03953550699999999
67%,4,200,200,0.5841343274999999,0.7223914156303379,0.04698506749999996
