Pretrain_LR,Main_LR,Holdout_Molecule_RMSE_Mean,Holdout_Molecule_RMSE_Std
0.0002,0.001,0.6836802056126277,0.0202780014748817
0.0001,0.0007,0.6929000874218506,0.027858031443137737
0.0002,0.0005,0.6955079002693353,0.040823196548520534
0.0004,0.0003,0.6958443292703159,0.0276807765956764
0.0001,0.001,0.6989200662111044,0.03944839115911577
0.0001,0.0003,0.7017045420629109,0.033360152295441765
0.0002,0.0007,0.7032817304484841,0.032328768208128196
0.0004,0.0005,0.7055141167154412,0.0350484956763363
0.0004,0.0007,0.7096459758168027,0.042776655141120064
0.0001,0.0005,0.7096783410828991,0.03181984775462267
0.0002,0.0003,0.7107949113820555,0.026906431504987834
0.0004,0.001,0.7148904437434452,0.023175603982014032
